,Total
0,0.4408844188403056
1,0.4127198938694677
2,0.3886090399504091
3,0.368465524136169
4,0.35199019768124584
5,0.33867518858609635
6,0.3279145330691405
7,0.3192225731146264
8,0.3125069771314806
9,0.3083643687597444
10,0.3084016239296089
11,0.3155243684017276
12,0.33399017295575684
13,0.3687424811424432
14,0.42324213317061754
15,0.49615392823841287
16,0.5801226057249775
17,0.66506102017057
18,0.742708668042436
19,0.8084819221054149
20,0.8608554150736024
21,0.9001153043288088
22,0.9273420906220341
23,0.9438811269009234
24,0.9511500255707989
25,0.9505974991119817
26,0.9436901715435158
27,0.9318532979206733
28,0.9163836717919083
29,0.898435010250186
30,0.878987493563841
31,0.8588224371839189
32,0.8385221573412389
33,0.8185137546862953
34,0.7991632194010344
35,0.7809192917745976
36,0.7645072073072381
37,0.7511607431111489
38,0.7428415496907136
39,0.7423024635506936
40,0.75270503293714
41,0.7765756925236268
42,0.8144439014398859
43,0.863797519279757
44,0.9187417673944387
45,0.9713274285081528
46,1.0149133610720409
47,1.0468588867187014
48,1.06831394761583
49,1.082394399495656
50,1.0926027140167125
51,1.1019807677499833
52,1.11275798046573
53,1.126252155988486
54,1.1429124416412164
55,1.1624500578592136
56,1.1840515868029455
57,1.2066346073387668
58,1.2290821795920581
59,1.250408381184852
60,1.2698482002312201
61,1.2868985327813967
62,1.3013473559232887
63,1.3133176205744623
64,1.323322846381582
65,1.332274722884234
66,1.3412847365903096
67,1.3509972499120295
68,1.3602495151036555
69,1.3645345582280037
70,1.3567128225008405
71,1.3322042369101594
72,1.2929768290155164
73,1.2448053257744378
74,1.1930889823785553
75,1.1412764011907575
76,1.0909596364958087
77,1.0423982931972364
78,0.995065893453649
79,0.9481431129035239
80,0.900920124090466
81,0.8530567909778137
82,0.804658471629827
83,0.7561873416490966
84,0.7082912195674942
85,0.6616393013026776
86,0.6168132358862746
87,0.5742567894921629
88,0.5342644642057145
89,0.4969869886771029
90,0.46243911768790247
91,0.4305074744605119
92,0.4009739314261904
93,0.37358846945151686
94,0.3482214282064517
95,0.32507232853245777
96,0.30482694004457334
97,0.28866292426443463
98,0.27819031196769944
99,0.27543443175506177
100,0.282754998483404
101,0.30254397809257544
102,0.3366854878289587
103,0.385920141474955
104,0.44929517193221813
105,0.5238441267394047
106,0.6047063334727116
107,0.6859312323027577
108,0.7618278676961359
109,0.8281692515324923
110,0.8826476787553674
111,0.9246169600909544
112,0.9545423101234294
113,0.9734932601127586
114,0.982794745213286
115,0.9838213778095499
116,0.9778857173276342
117,0.966179816019827
118,0.9497480055923553
119,0.9294869422054477
120,0.9061807079278259
121,0.8805762461898032
122,0.8534835872868187
123,0.8258675814957634
124,0.7989187312886976
125,0.7741136060810903
126,0.7532530604378125
127,0.7384361612352914
128,0.7319283823302463
129,0.7359139169043953
130,0.7521514480089574
131,0.78154235733895
132,0.8235438099453155
133,0.875283839378237
134,0.9307073686564579
135,0.9814445055625908
136,1.0204642092960616
137,1.0453657221193984
138,1.0580956035447442
139,1.0626334363317123
140,1.0631564201282089
141,1.0632286929005914
142,1.0655830261900792
143,1.0721015299400392
144,1.0838216746366982
145,1.1009340150784945
146,1.122804435742521
147,1.1480785615528306
148,1.1749167502673452
149,1.2013538345057895
150,1.225697303521109
151,1.2468443741516395
152,1.2644436550572649
153,1.2788941013497508
154,1.2912040541964203
155,1.302714768494381
156,1.3146336586078358
157,1.3272306379162722
158,1.3385460873997226
159,1.3431934044304767
160,1.3339963715431742
161,1.3079055429212036
162,1.2688605184403634
163,1.2236943245921057
164,1.1780281619461723
165,1.135168468563446
166,1.0963929677602235
167,1.0614671509944515
168,1.0291286100115917
169,0.9975434287528184
170,0.9647630043241768
171,0.9291815914850337
172,0.8899283646644383
173,0.8470572721237655
174,0.8014327717814844
175,0.7543757683169662
176,0.7072681538657603
177,0.6612784335134382
178,0.6172425810509566
179,0.5756515537752217
180,0.5366903344127749
181,0.5003027450790731
182,0.46628633852650636
183,0.43443633033590856
184,0.40474654199167
185,0.37762670237754997
186,0.3540206712085614
187,0.3353357116999506
188,0.3232758632531612
189,0.3196436415110413
190,0.32600764396760484
191,0.3432708014202305
192,0.3714174182952795
193,0.4096695945633393
194,0.45694177293055355
195,0.5122286523717636
196,0.5746032507316553
197,0.6427300643579235
198,0.7141617275320882
199,0.7850885333662017
200,0.8510714374302778
201,0.9083414311502305
202,0.9546649500999953
203,0.9893726792991837
204,1.0129008847226322
205,1.0262829074950774
206,1.030780294968896
207,1.0276646023288414
208,1.018110120185176
209,1.003165571830751
210,0.9837887732658348
211,0.960930782990777
212,0.9356396495017272
213,0.9091416210227528
214,0.8828818255792367
215,0.8585216595334485
216,0.8378701382159492
217,0.8227357250338468
218,0.8147419251700313
219,0.815190743613488
220,0.8250237722387167
221,0.8448398945184855
222,0.8748274188557952
223,0.9143625921153625
224,0.9609937442369865
225,1.0090851166655221
226,1.0500963336224178
227,1.0765040683248643
228,1.0860770512518743
229,1.0816869168443621
230,1.0683253153047843
231,1.0508825859791564
232,1.03336632344833
233,1.0188606302090393
234,1.0096734634200857
235,1.0074375177255386
236,1.0130943488016553
237,1.0267764607238543
238,1.0476852928957896
239,1.0741289018064808
240,1.1038353414642417
241,1.1344789670782396
242,1.1641935012302869
243,1.1918479608662498
244,1.2170077694160468
245,1.2396401118269729
246,1.259646135170482
247,1.2762411800257132
248,1.2871973098102958
249,1.288313178124807
250,1.2744506755460099
251,1.243354096523794
252,1.1988620907428489
253,1.1486513844218376
254,1.0999392983121214
255,1.0577014616298606
256,1.0246911731169532
257,1.0017548901670665
258,0.9881082062967819
259,0.981692353980106
260,0.9796341643601512
261,0.9786836527805467
262,0.9755441467481961
263,0.9671798700536008
264,0.9512600252055129
265,0.9266984670228646
266,0.8939283567321579
267,0.8546058389500298
268,0.8109210459141329
269,0.764967327846038
270,0.7184187194927071
271,0.6724849569668362
272,0.6280202350195744
273,0.585697424179682
274,0.546215932407531
275,0.5105464293011905
276,0.48020790487717546
277,0.45748489680609916
278,0.4453496485966014
279,0.44677577123440176
280,0.4633367196605367
281,0.49385996327073106
282,0.5345079132100575
283,0.5803544188603463
284,0.6270331609691583
285,0.6715428789324212
286,0.7123951139408067
287,0.7495271248604951
288,0.7841446740438414
289,0.818437862268629
290,0.8550038285031817
291,0.8958364477986395
292,0.9410981617359061
293,0.9885020784451821
294,1.0340767077553148
295,1.0738386948367724
296,1.1050620925077297
297,1.1265559812992993
298,1.138316981913605
299,1.1410709362989948
300,1.1359493895923212
301,1.1243410221229055
302,1.1078859160308487
303,1.0885575755589374
304,1.068744419651168
305,1.0511968259563649
306,1.0387022500153127
307,1.0335188455679853
308,1.0368654484553623
309,1.048748856402044
310,1.068113351641
311,1.0931512715793896
312,1.1216745105532857
313,1.1514684037930911
314,1.180479776287456
315,1.2066687427527314
316,1.227467916978185
317,1.2391423282714382
318,1.2370577756825276
319,1.2179116271241723
320,1.1823630338494113
321,1.134800178569401
322,1.080802355123381
323,1.0252114388560025
324,0.971620148444282
325,0.922582299183534
326,0.8799550282686464
327,0.8451406063799041
328,0.8191549949025866
329,0.8024964050641089
330,0.7948470103579206
331,0.7947711292985378
332,0.7996769815229231
333,0.8061766198418097
334,0.8106794433770798
335,0.8099880522517197
336,0.8018298906197459
337,0.7852631751369437
338,0.7607596491854915
339,0.7298613458494116
340,0.6946194339544906
341,0.657145262334985
342,0.6194414146548884
343,0.5834882721948431
344,0.551480380433463
345,0.5261081274128846
346,0.5107982076055981
347,0.5096924707055432
348,0.5268048791920859
349,0.56394776298017
350,0.6186058243037926
351,0.6842850486895307
352,0.7535260476961717
353,0.8207044261675741
354,0.8828465643893764
355,0.9390553284529072
356,0.9895814284145543
357,1.035053733972637
358,1.0760324256179001
359,1.1129106732796497
360,1.146048469619176
361,1.175883327105773
362,1.2027876384415572
363,1.226705466702549
364,1.246909385130732
365,1.2621868146143569
366,1.271351757689934
367,1.2737010292909685
368,1.2691972461555252
369,1.2584438006429424
370,1.2426092554429518
371,1.223399288156091
372,1.203095619891502
373,1.1846040743031365
374,1.1713314764428615
375,1.1666220787423425
376,1.1726740236037285
377,1.1892508323732676
378,1.2126323428067969
379,1.2355251561784855
380,1.249098729710845
381,1.2466828602982178
382,1.2261500399361334
383,1.1893841887802066
384,1.140297335837466
385,1.0831247352806035
386,1.0215070562030337
387,0.9582023137978214
388,0.8951686065452411
389,0.8337994854943223
390,0.7751463053516768
391,0.7200464362385604
392,0.6691744993733487
393,0.62307317649945
394,0.5821931663269891
395,0.5469343606704141
396,0.5176599675992786
397,0.49464353938918115
398,0.47790165315502087
399,0.46689089538014816
400,0.46016663326387597
401,0.4553018286129846
402,0.4494035736616578
403,0.44018217085768735
404,0.42695980358604774
405,0.4108649678879407
406,0.39415994622077505
407,0.37950672059764373
408,0.3698040400884859
409,0.36851256902658686
410,0.3800107315127608
411,0.4092383834792546
412,0.45963772933377545
413,0.5296448611120251
414,0.6112510771025782
415,0.6935862900904547
416,0.7679977765568335
417,0.830007052631367
418,0.8784741653581992
419,0.9141520863867955
420,0.9386569145569372
421,0.9539167116654472
422,0.9619141707147377
423,0.9645647922578422
424,0.9636292850067578
425,0.9605985961377769
426,0.9565328969704305
427,0.951905126660683
428,0.9465651371479951
429,0.9399210212650841
430,0.9313036928799717
431,0.9203350539977873
432,0.9071264029391009
433,0.8923104033067792
434,0.8770366334861339
435,0.8630320799762102
436,0.8527262456574041
437,0.849290515454401
438,0.856250335728369
439,0.8763705746177116
440,0.9101000519647164
441,0.9543232237264727
442,1.0022564778766312
443,1.0457333965406819
444,1.0790995376347567
445,1.1010819303626258
